JobCode,CostFamilyL2Code,CostFamilyL2Description,documentDate,pbsCode,pbsDescription,revisedQuantity,RevisedRate,workDoneQuantity,ActualRate,ACWP
$#18JCDE,2195,"Doors, Windows, Ventilators, Rolling Shutters",2019-12-31 00:00:00.000,6067-2195-001,"Doors, Windows, Ventilators, Rolling Shutters",9551.5,1762,523.85,8557,4482584.45
$#18JCDE,2180,Flooring & Cladding,2019-12-31 00:00:00.000,6066-2180-003,Flooring & Cladding (tiles),23513,901,547,16237,8881639
$#18JCDE,2180,Flooring & Cladding,2020-08-31 00:00:00.000,6066-2180-003,Flooring & Cladding (tiles),23513,996,4718,4882,23033276
$#18JCDE,2270,Handrails,2020-05-31 00:00:00.000,6067-2270-001,Handrails,42.4,100682,8.07,257293,2076354.51
$#19JCDE,2110,Formwork,2021-03-31 00:00:00.000,6063-2110-002,L&T Formwork,252622.41,863,34590.51,668,23106460.68
$#19JCDE,2110,Formwork,2021-05-31 00:00:00.000,6063-2110-002,L&T Formwork,252622.41,863,37888.42,782,29628744.44
$#18JCDE,2010,Earthwork,2019-01-31 00:00:00.000,6061-2010-001,Excavation (in all types of soils),89263.69,244,29855,200,5971000
$#19JCDE,2110,Formwork,2021-09-30 00:00:00.000,6063-2110-002,L&T Formwork,252622.41,863,38347.64,873,33477489.72
$#18JCDE,2060,Concreting,2019-08-31 00:00:00.000,6062-2060-002,Concreting,75507,3918,3545.47,4164,14763337.08
$#18JCDE,2060,Concreting,2019-10-31 00:00:00.000,6062-2060-002,Concreting,75507,3918,3545.47,4191,14859064.77
$#18JCDE,2060,Concreting,2019-12-31 00:00:00.000,6062-2060-002,Concreting,75507,3918,3545.47,4245,15050520.15
$#18JCDE,2110,Formwork,2019-09-30 00:00:00.000,6063-2110-002,L&T Formwork,183702.72,438,6659.17,485,3229697.45
$#18JCDE,2110,Formwork,2019-03-31 00:00:00.000,6063-2110-003,Aluminium Formwork,9674309.89,85,106126.91,313,33217722.83
$#18JCDE,2110,Formwork,2019-05-31 00:00:00.000,6063-2110-003,Aluminium Formwork,9674309.89,85,217769.22,188,40940613.36
$#18JCDE,2010,Earthwork,2019-11-30 00:00:00.000,6061-2010-001,Excavation (in all types of soils),72818.16,246,50375.37,99,4987161.63
$#18JCDE,2010,Earthwork,2020-05-31 00:00:00.000,6061-2010-001,Excavation (in all types of soils),72818.16,246,50375.37,99,4987161.63
$#18JCDE,2010,Earthwork,2020-07-31 00:00:00.000,6061-2010-001,Excavation (in all types of soils),72818.16,246,50375.37,99,4987161.63
$#18JCDE,2110,Formwork,2019-07-31 00:00:00.000,6063-2110-003,Aluminium Formwork,9674309.89,85,222053.06,425,94372550.5
$#18JCDE,2110,Formwork,2019-09-30 00:00:00.000,6063-2110-003,Aluminium Formwork,9674309.89,85,222053.06,425,114061255.15
$#18JCDE,2110,Formwork,2019-11-30 00:00:00.000,6063-2110-003,Aluminium Formwork,9674309.89,85,222053.06,425,133749959.81
$#18JCDE,2110,Formwork,2020-03-31 00:00:00.000,6063-2110-003,Aluminium Formwork,9674309.89,85,222053.06,734,163949175.97
$#18JCDE,2110,Formwork,2020-05-31 00:00:00.000,6063-2110-003,Aluminium Formwork,9674309.89,85,222053.06,747,165873635.82
$#19JCDE,2110,Formwork,2021-11-30 00:00:00.000,6063-2110-002,L&T Formwork,252622.41,863,39024.66,901,35161218.66
$#19JCDE,2110,Formwork,2022-02-28 00:00:00.000,6063-2110-002,L&T Formwork,252622.41,863,42697.21,929,39665708.09
$#19JCDE,2110,Formwork,2022-04-30 00:00:00.000,6063-2110-002,L&T Formwork,252622.41,863,47788.89,929,44395878.81
$#19JCDE,2010,Earthwork,2023-02-28 00:00:00.000,6061-2010-006,Backfilling,1010814.24,124,359748.92,227,81663004.84
$#19JCDE,2010,Earthwork,2023-04-30 00:00:00.000,6061-2010-006,Backfilling,844317.24,138,359748.92,241,86699489.72
$#19JCDE,2010,Earthwork,2023-06-30 00:00:00.000,6061-2010-006,Backfilling,844317.24,138,388666.92,245,95223395.4
$#18JCDE,2060,Concreting,2021-08-31 00:00:00.000,6062-2060-002,Concreting,102096.9,6149,44311.49,6672,295646261.28
$#18JCDE,2060,Concreting,2021-10-31 00:00:00.000,6062-2060-002,Concreting,102096.9,6162,48387.49,6458,312486410.42
